Category,Column,Comment,Correct,Highlights,0,1,2,3,4,5,6
MAP,1,"Right, with CO and Ra both increased there must be an increase in MAP since:                          MAP = CO x Ra.  In addition, we know that the fall in MAP as a consequence of the disturbance will trigger a baroreceptor reflex and that will reflexly raise MAP.",yes,"4,5,6",,,,,2,2,2
MAP,1,"No, both CO and Ra are up and this must cause an increase in MAP (relative to its value as a result of the DR response).  This is the goal of the baroreceptor reflex.",no,"4,5,6",,,,,,,1
MAP,1,"No, MAP must increase because both CO and Ra increased.  Furthermore, you know that the response to a fall in MAP (as occurred in DR) will stimulated a baroreceptor reflex to increase MAP.",no,"4,5,6",,,,,,,0
MAP,2,"Right, the baroreceptor reflex has partially compensated for the fall in MAP that occurred.  But, MAP has gone back to its pre-disturbance valye.",yes,6,,,,,,,1
MAP,2,No!  Your prediction that MAP is increased would mean that its value is HIGHER than it was before the disturbance.  The baroreceptor reflex only partially conpensates for the disturbance and hence MAP is still decreased (although not as much).,no,6,,,,,,,2
MAP,2,"No, your prediction that MAP is unchanged would mean that the baroreceptor reflex fully compensated for the disturbance and that MAP is now the same as it was in the control state.  However, the baroreceptor reflex can only partially compensate for the disturbance and thus MAP in the new steady state is still decreased.
",no,6,,,,,,,0
Neural variables,2,"Correct, the neurally controlled variables, IS, HR, and Ra are increased by the baroreceptor reflex to help restore MAP.  ",yes,"0,3,5",2,,,2,,2,
Neural variables,2,"No, all three of the neurally controlled variables, IS, HR, and Ra are increased by the baroreceptor reflex to help restore MAP towards its pre-disturbance value.",no,"0,3,5",5,,,,,,
Neural variables,2,"No, all three of the neurally controlled variables, IS, HR, and Ra are increased by the baroreceptor reflex to help restore MAP towards its pre-disturbance value.",no,"0,3,5",,,,5,,
Neural variables,2,"No, all three of the neurally controlled variables, IS, HR, and Ra are increased by the baroreceptor reflex to help restore MAP towards its pre-disturbance value.",no,"0,3,5",,,,,,5
HR CO,2,"Right, the increased HR (driven by the baroreceptor reflex) results in an increase in CO.",yes,"3,4",,,,2,2,
HR CO,2,"No, the increase in HR produced by the baroreceptor reflex causes an increase in CO.",no,"3,4",,,,,5,
CO CVP,2,"Right, with CO increased there is a corresponding decrease in CVP.",yes,"1,4",,1,,,2,
CO CVP,2,"No, with CO increased there is a corresponding decrease in CVP.",no,"1,4",,4,,,,
CVP SV,2,"Correct.  With CVP down (ie, pre-load is reduced) SV will decrease.  Note, however, that the reflex increase in IS buffers the fall in SV, keeping it from getting so large that CO cannot increase.",yes,"1,2",,1,1,,,
CVP SV,2,"No.  With CVP down (ie, pre-load is reduced) SV will decrease.  Note, however, that the reflex increase in IS buffers the fall in SV, keeping it from getting so large that CO cannot increase.",no,"1,2",,,4,,,
